PlayerID,PlayerName,CurrentTeam,HeadshotURL
203484,Kentavious Caldwell-Pope,Grizzlies,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203484.png
1641739,Toumani Camara,Trail Blazers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641739.png
203991,Clint Capela,Rockets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203991.png
1642928,Dylan Cardwell,Kings,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642928.png
1642382,Branden Carlson,Thunder,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642382.png
1642267,Bub Carrington,Wizards,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642267.png
1642269,Devin Carter,Kings,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642269.png
1628975,Jevon Carter,Magic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628975.png
1628976,Wendell Carter Jr.,Magic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628976.png
1627936,Alex Caruso,Thunder,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627936.png
1642264,Stephon Castle,Spurs,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642264.png
1630658,Colin Castleton,Magic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630658.png
1630577,Julian Champagnie,Spurs,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630577.png
1630551,Justin Champagnie,Wizards,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630551.png
1631113,Kennedy Chandler,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631113.png
1642353,Cam Christie,Clippers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642353.png
1631108,Max Christie,Mavericks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631108.png
1630619,Moussa Cisse,Mavericks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630619.png
1631321,Sidy Cissoko,Trail Blazers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631321.png
1641740,Jaylen Clark,Timberwolves,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641740.png
1629634,Brandon Clarke,Grizzlies,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629634.png
203903,Jordan Clarkson,Knicks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203903.png
1629651,Nic Claxton,Nets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629651.png
1642383,Walter Clayton Jr.,Grizzlies,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642383.png
1642363,Nique Clifford,Kings,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642363.png
1642270,Donovan Clingan,Trail Blazers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642270.png
1641730,Noah Clowney,Nets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641730.png
1629599,Amir Coffey,Suns,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629599.png
1642268,Isaiah Collier,Jazz,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642268.png
1628381,John Collins,Clippers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628381.png
1628380,Zach Collins,Bulls,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628380.png
201144,Mike Conley,Timberwolves,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201144.png
1626192,Pat Connaughton,Hornets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626192.png
1631451,Javonte Cooke,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631451.png
1630536,Sharife Cooper,Wizards,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630536.png
1641731,Bilal Coulibaly,Wizards,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641731.png
1642907,Cedric Coward,Grizzlies,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642907.png
1642384,Isaiah Crawford,Rockets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642384.png
1643018,LJ Cryer,Warriors,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1643018.png
1630595,Cade Cunningham,Pistons,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630595.png
203552,Seth Curry,Warriors,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203552.png
201939,Stephen Curry,Warriors,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201939.png
1642359,Pacôme Dadiet,Knicks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642359.png
1630700,Dyson Daniels,Hawks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630700.png
1642368,N'Faly Dante,,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642368.png
203076,Anthony Davis,Wizards,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203076.png
1631120,JD Davison,Rockets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631120.png
201942,DeMar DeRozan,Kings,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201942.png
1642484,RayJ Dennis,Hawks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642484.png
1628978,Donte DiVincenzo,Timberwolves,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628978.png
1631217,Moussa Diabaté,Hornets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631217.png
1642885,Mohamed Diawara,Knicks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642885.png
1641711,Gradey Dick,Raptors,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641711.png
1630621,Hunter Dickinson,Pelicans,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630621.png
1631172,Ousmane Dieng,Bucks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631172.png
1642265,Rob Dillingham,Bulls,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642265.png
1629029,Luka Dončić,Lakers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629029.png
1629652,Luguentz Dort,Thunder,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629652.png
1630245,Ayo Dosunmu,Timberwolves,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630245.png
203083,Andre Drummond,76ers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203083.png
1627739,Kris Dunn,Clippers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627739.png
1642346,Ryan Dunn,Suns,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642346.png
201142,Kevin Durant,Rockets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201142.png
1631105,Jalen Duren,Pistons,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631105.png
1642856,Egor Dëmin,Nets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642856.png
1631106,Tari Eason,Rockets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631106.png
1641744,Zach Edey,Grizzlies,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641744.png
1642845,VJ Edgecombe,76ers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642845.png
1630162,Anthony Edwards,Timberwolves,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630162.png
1642348,Justin Edwards,76ers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642348.png
1631165,Keon Ellis,Cavaliers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631165.png
203954,Joel Embiid,76ers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203954.png
1642400,Tristan Enaruna,Cavaliers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642400.png
1642855,Noa Essengue,Bulls,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1642855.png
1630623,Tyson Etienne,Nets,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630623.png
